Piperacillin–tazobactam induced bicytopenia in low cumulative treatment doses	6954770	PMC6954770.nxml	PTZ	cause of	the most likely cause of neutropenia	PTZ was suspected to be the most likely cause of neutropenia and thrombocytopenia and was hence terminated on day 14 ( cumulative dose of PTZ : 126 g ) following stabilisation of the infection condition .
Piperacillin–tazobactam induced bicytopenia in low cumulative treatment doses	6954770	PMC6954770.nxml	PTZ	cause of	thrombocytopenia	PTZ was suspected to be the most likely cause of neutropenia and thrombocytopenia and was hence terminated on day 14 ( cumulative dose of PTZ : 126 g ) following stabilisation of the infection condition .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	30 - day	cause	30 - day	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	30 - day	cause	1 - year	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	30 - day	cause	5 - year overall	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	30 - day	cause	cause - specific mortality rates stratified by age	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	30 - day	cause	sex	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	1 - year	cause	30 - day	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	1 - year	cause	1 - year	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	1 - year	cause	5 - year overall	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	1 - year	cause	cause - specific mortality rates stratified by age	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
